Run,Day,Interval,Success
96,Day_2,1,1
96,Day_2,2,1
96,Day_2,3,1
96,Day_2,4,0
97,Day_2,1,1
97,Day_2,2,1
97,Day_2,3,1
97,Day_2,4,0
98,Day_2,1,1
98,Day_2,2,1
98,Day_2,3,1
98,Day_2,4,0
99,Day_2,1,1
99,Day_2,2,1
99,Day_2,3,1
99,Day_2,4,0
100,Day_2,1,1
100,Day_2,2,1
100,Day_2,3,1
100,Day_2,4,0
101,Day_2,1,1
101,Day_2,2,1
101,Day_2,3,1
101,Day_2,4,0
102,Day_2,1,1
102,Day_2,2,1
102,Day_2,3,1
102,Day_2,4,0
103,Day_2,1,1
103,Day_2,2,1
103,Day_2,3,1
103,Day_2,4,0
104,Day_2,1,1
104,Day_2,2,1
104,Day_2,3,1
104,Day_2,4,0
105,Day_2,1,1
105,Day_2,2,1
105,Day_2,3,1
105,Day_2,4,0
106,Day_2,1,1
106,Day_2,2,1
106,Day_2,3,1
106,Day_2,4,0
107,Day_2,1,1
107,Day_2,2,1
107,Day_2,3,1
107,Day_2,4,0
108,Day_2,1,1
108,Day_2,2,1
108,Day_2,3,1
108,Day_2,4,0
109,Day_2,1,1
109,Day_2,2,1
109,Day_2,3,0
110,Day_2,1,1
110,Day_2,2,1
110,Day_2,3,0
111,Day_2,1,1
111,Day_2,2,1
111,Day_2,3,0
112,Day_2,1,1
112,Day_2,2,1
112,Day_2,3,0
113,Day_2,1,1
113,Day_2,2,1
113,Day_2,3,0
114,Day_2,1,1
114,Day_2,2,1
114,Day_2,3,0
115,Day_2,1,1
115,Day_2,2,1
115,Day_2,3,0
116,Day_2,1,1
116,Day_2,2,1
116,Day_2,3,0
117,Day_2,1,1
117,Day_2,2,0
118,Day_2,1,1
118,Day_2,2,0
119,Day_2,1,1
119,Day_2,2,0
120,Day_2,1,1
120,Day_2,2,0
121,Day_2,1,1
121,Day_2,2,0
122,Day_2,1,1
122,Day_2,2,0
123,Day_2,1,1
123,Day_2,2,0
124,Day_2,1,1
124,Day_2,2,0
125,Day_2,1,1
125,Day_2,2,0
126,Day_2,1,1
126,Day_2,2,0
127,Day_2,1,1
127,Day_2,2,0
128,Day_2,1,1
128,Day_2,2,0
129,Day_2,1,1
129,Day_2,2,0
130,Day_2,1,1
130,Day_2,2,0
131,Day_2,1,1
131,Day_2,2,0
132,Day_2,1,1
132,Day_2,2,0
133,Day_2,1,1
133,Day_2,2,0
134,Day_2,1,1
134,Day_2,2,0
135,Day_2,1,1
135,Day_2,2,0
136,Day_2,1,1
136,Day_2,2,0
137,Day_2,1,1
137,Day_2,2,0
138,Day_2,1,1
138,Day_2,2,0
139,Day_2,1,1
139,Day_2,2,0
140,Day_2,1,1
140,Day_2,2,0
141,Day_2,1,1
141,Day_2,2,0
142,Day_2,1,1
142,Day_2,2,0
143,Day_2,1,1
143,Day_2,2,0
144,Day_2,1,1
144,Day_2,2,0
145,Day_2,1,1
145,Day_2,2,0
146,Day_2,1,1
146,Day_2,2,0
147,Day_2,1,1
147,Day_2,2,0
148,Day_2,1,1
148,Day_2,2,0
149,Day_2,1,0
150,Day_2,1,0
151,Day_2,1,0
152,Day_2,1,0
153,Day_2,1,0
154,Day_2,1,0
155,Day_2,1,0
156,Day_2,1,0
157,Day_2,1,0
158,Day_2,1,0
159,Day_2,1,0
160,Day_2,1,0
161,Day_2,1,0
162,Day_2,1,0
163,Day_2,1,0
164,Day_2,1,0
165,Day_2,1,0
166,Day_2,1,0
167,Day_2,1,0
168,Day_2,1,0
169,Day_2,1,0
170,Day_2,1,0
171,Day_2,1,0
172,Day_2,1,0
173,Day_2,1,0
174,Day_2,1,0
175,Day_2,1,0
176,Day_2,1,0
177,Day_2,1,0
178,Day_2,1,0
179,Day_2,1,0
180,Day_2,1,0
181,Day_2,1,0
182,Day_2,1,0
183,Day_3,1,1
183,Day_3,2,1
183,Day_3,3,1
183,Day_3,4,1
183,Day_3,5,1
183,Day_3,6,0
184,Day_3,1,1
184,Day_3,2,1
184,Day_3,3,1
184,Day_3,4,1
184,Day_3,5,0
185,Day_3,1,1
185,Day_3,2,1
185,Day_3,3,1
185,Day_3,4,1
185,Day_3,5,0
186,Day_3,1,1
186,Day_3,2,1
186,Day_3,3,1
186,Day_3,4,0
187,Day_3,1,1
187,Day_3,2,1
187,Day_3,3,1
187,Day_3,4,0
188,Day_3,1,1
188,Day_3,2,1
188,Day_3,3,1
188,Day_3,4,0
189,Day_3,1,1
189,Day_3,2,1
189,Day_3,3,1
189,Day_3,4,0
190,Day_3,1,1
190,Day_3,2,1
190,Day_3,3,1
190,Day_3,4,0
191,Day_3,1,1
191,Day_3,2,1
191,Day_3,3,1
191,Day_3,4,0
192,Day_3,1,1
192,Day_3,2,1
192,Day_3,3,1
192,Day_3,4,0
193,Day_3,1,1
193,Day_3,2,1
193,Day_3,3,1
193,Day_3,4,0
194,Day_3,1,1
194,Day_3,2,1
194,Day_3,3,1
194,Day_3,4,0
195,Day_3,1,1
195,Day_3,2,1
195,Day_3,3,1
195,Day_3,4,0
196,Day_3,1,1
196,Day_3,2,1
196,Day_3,3,1
196,Day_3,4,0
197,Day_3,1,1
197,Day_3,2,1
197,Day_3,3,1
197,Day_3,4,0
198,Day_3,1,1
198,Day_3,2,1
198,Day_3,3,1
198,Day_3,4,0
199,Day_3,1,1
199,Day_3,2,1
199,Day_3,3,1
199,Day_3,4,0
200,Day_3,1,1
200,Day_3,2,1
200,Day_3,3,1
200,Day_3,4,0
201,Day_3,1,1
201,Day_3,2,1
201,Day_3,3,1
201,Day_3,4,0
202,Day_3,1,1
202,Day_3,2,1
202,Day_3,3,1
202,Day_3,4,0
203,Day_3,1,1
203,Day_3,2,1
203,Day_3,3,1
203,Day_3,4,0
204,Day_3,1,1
